"pathway","pval","padj","NES","size"
"BIOCARTA_GRANULOCYTES_PATHWAY",0.0588235294117647,0.165015771125007,1.45285058560199,13
"BIOCARTA_LYM_PATHWAY",0.373390557939914,0.560649870985309,1.06450878388283,12
"BIOCARTA_BLYMPHOCYTE_PATHWAY",0.115671641791045,0.259543142077423,-1.38349448181022,12
"BIOCARTA_CARM_ER_PATHWAY",0.685466377440347,0.814691405949428,0.858544194929555,23
"BIOCARTA_LAIR_PATHWAY",0.285407725321888,0.470733316874929,1.12541797705132,16
"BIOCARTA_VDR_PATHWAY",0.208695652173913,0.384288254851929,1.1878029795659,24
"BIOCARTA_MTA3_PATHWAY",0.888888888888889,0.946328692133762,0.694015799017856,17
"BIOCARTA_GABA_PATHWAY",0.802521008403361,0.891955887834075,0.749207089818466,10
"BIOCARTA_EGFR_SMRTE_PATHWAY",0.160377358490566,0.325967675711993,-1.31092951601509,11
"BIOCARTA_MONOCYTE_PATHWAY",0.302521008403361,0.491617246353582,1.13750557620827,10
"BIOCARTA_RARRXR_PATHWAY",0.226744186046512,0.407319977584758,-1.24450489109798,7
"BIOCARTA_NUCLEARRS_PATHWAY",0.00956022944550669,0.0435911379304296,-1.55771682481169,34
"BIOCARTA_RANMS_PATHWAY",0.00420168067226891,0.0243779813363745,2.09526016544428,10
"BIOCARTA_TEL_PATHWAY",0.475308641975309,0.65893555107874,0.980985190001091,17
"BIOCARTA_SARS_PATHWAY",0.531007751937985,0.703923307558264,-0.947699815381922,7
"BIOCARTA_PDZS_PATHWAY",0.0426356589147287,0.130375771769214,-1.52641884337299,17
"BIOCARTA_RACC_PATHWAY",0.0213675213675214,0.0808603410126253,1.57838707952232,15
"BIOCARTA_EICOSANOID_PATHWAY",0.0919324577861163,0.221439894279644,-1.36733864157667,22
"BIOCARTA_CHREBP_PATHWAY",0.377110694183865,0.56481370670833,-1.04374414824003,19
"BIOCARTA_LIS1_PATHWAY",0.959488272921109,0.981580611169652,0.61892252904472,19
"BIOCARTA_HSWI_SNF_PATHWAY",0.433476394849785,0.617890348681673,1.01839113716621,12
